,lon,lat,common_name,tree_type,obs_btm,entry_source
0,-69.679596,44.509692,Oak,Ornamental,500-999,MSFS 2021
1,-69.663829,44.529162,Maple,Ornamental,100-499,MSFS 2021
2,-69.654267,44.534331,Oak,Ornamental,500-999,MSFS 2021
3,-69.658993,44.556211,Oak,Ornamental,100-499,MSFS 2021
4,-69.655218,44.552073,Oak,Ornamental,100-499,MSFS 2021
5,-69.661264,44.562742,Oak,Ornamental,100-499,MSFS 2021
6,-69.673118,44.548565,Oak,Ornamental,1000-4999,MSFS 2021
7,-69.676892,44.550539,Oak,Ornamental,500-999,MSFS 2021
8,-69.666891,44.56439,Oak,Ornamental,500-999,MSFS 2021
9,-69.660862,44.567792,Oak,Ornamental,10-99,MSFS 2021
10,-69.649482,44.566065,Oak,Ornamental,500-999,MSFS 2021
11,-69.653691,44.568677,Oak,Ornamental,100-499,MSFS 2021
12,-69.653691,44.568677,Oak,Ornamental,100-499,MSFS 2021
13,-69.648023,44.581446,Oak,Ornamental,10-99,MSFS 2021
14,-69.644022,44.576472,Oak,Ornamental,100-499,MSFS 2021
15,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
16,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
17,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
18,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
19,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
20,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
21,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
22,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
23,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
24,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
25,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
26,-69.640377,44.57088,Oak,Ornamental,100-499,MSFS 2021
27,-69.637458,44.566048,Oak,Ornamental,100-499,MSFS 2021
28,-69.63196,44.555783,Oak,Ornamental,10-99,MSFS 2021
29,-69.632225,44.551624,Oak,Ornamental,10-99,MSFS 2021
30,-69.635816,44.5465,Oak,Ornamental,10-99,MSFS 2021
31,-69.641063,44.543434,Oak,Ornamental,100-499,MSFS 2021
32,-69.648855,44.540224,Oak,Ornamental,100-499,MSFS 2021
33,-69.661636,44.542792,Oak,Ornamental,10-99,MSFS 2021
34,-69.670174,44.544284,Oak,Ornamental,100-499,MSFS 2021
